name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area,lat,lng,Walk Score,Bike Score,Transit Score
3 beds 3 baths townhouse,3300,"kelowna, bc, v1y 5t5",Townhouse,3,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1371,49.87816,-119.47675,54,96,56
2 beds 1 bath house,2000,"west kelowna, bc, v4t",House,2,1,in-unit laundry,Not specified,Not specified,Not specified,Not specified,dog and cat friendly,914,49.83173,-119.62367,43,49,-1
private room for rent,570,"west kelowna, bc, v4t",Room,1,1,in-unit laundry,gas heating,Not specified,ac available,unfurnished,cat friendly,150,49.83173,-119.62367,43,49,-1
3 beds 2 baths townhouse,2900,"west kelowna, bc, v4t",Townhouse,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,1371,49.83173,-119.62367,43,49,-1
4 beds 2 5 baths house,3800,"west kelowna, bc, v4t",House,4,2,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,2500,49.83173,-119.62367,43,49,-1
3 beds 2 baths apartment,2500,"west kelowna, bc, v4t",Apartment/Condo,3,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,910,49.83173,-119.62367,43,49,-1
waterfront resort,3000,"west kelowna, bc, v4t",Townhouse,4,3,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1371,49.83173,-119.62367,43,49,-1
1 bed 1 bath apartment,1800,"west kelowna, bc, v4t",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,dog and cat friendly,910,49.83173,-119.62367,43,49,-1
1 bed 1 bath apartment,1700,"west kelowna, bc, v4t",Apartment/Condo,1,1,in-unit laundry,Not specified,parking available,ac available,unfurnished,No pets,585,49.83173,-119.62367,43,49,-1
2 beds 2 baths apartment,3500,"west kelowna, bc, v4t",Apartment/Condo,2,2,in-unit laundry,Not specified,garage parking,central ac,unfurnished,No pets,1200,49.83173,-119.62367,43,49,-1
2 beds 1 bath apartment,2000,"west kelowna, bc, v4t",Apartment/Condo,2,1,in-unit laundry,electric heating,street parking,Not specified,Not specified,No pets,760,49.83173,-119.62367,43,49,-1
3 beds 2 baths house,3250,"west kelowna, bc, v4t",House,3,2,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,2000,49.83173,-119.62367,43,49,-1
1 bed 1 bath apartment,1250,"kelowna, bc, v1v",Apartment/Condo,1,1,laundry in building,Not specified,parking available,Not specified,unfurnished,No pets,910,49.94804,-119.42824,8,35,19
3 beds 2 baths apartment,900,"kelowna, bc, v1v",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.94804,-119.42824,8,35,19
4 beds 3 baths house,2800,"kelowna, bc, v1v",House,4,3,laundry available,heating available,garage parking,ac available,Not specified,dog and cat friendly,1200,49.94804,-119.42824,8,35,19
2 beds 1 bath apartment,1800,"kelowna, bc, v1v",Apartment/Condo,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,dog and cat friendly,800,49.94804,-119.42824,8,35,19
1 bed 1 bath townhouse,1200,"kelowna, bc, v1v",Townhouse,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1371,49.94804,-119.42824,8,35,19
3 beds 3 baths house,4200,"kelowna, bc, v1v",House,3,3,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,2046,49.94804,-119.42824,8,35,19
