address,lat,lng,Walk Score,Bike Score,Transit Score
"kelowna, bc, v1y 5t5",49.87816,-119.47675,54,96,56
"west kelowna, bc, v4t",49.83173,-119.62367,43,49,-1
"kelowna, bc, v1v",49.94804,-119.42824,8,35,19
"west kelowna, bc",49.85902,-119.58413,6,23,-1
"kelowna, bc, v1v 1r1",49.91729,-119.44397,66,90,37
"kelowna, bc, v1x 3m7",49.89336,-119.3943,78,81,49
"vernon, bc, v1b 3m1",50.26569,-119.27378,98,65,42
"kelowna, bc",49.88698,-119.49661,64,98,59
"kelowna, bc, v1y 5t8",49.8794,-119.4757,53,95,55
"kelowna, bc, v1w 1b4",49.82758,-119.47934,10,44,30
"kelowna, bc, v1w 3r1",49.86253,-119.47424,35,81,48
"kelowna, bc, v1x 2j5",49.89529,-119.39641,51,83,50
"kelowna, bc, v1y 3v3",49.8891,-119.4691,29,79,53
"kelowna, bc, v1v 1w4",49.92723,-119.44397,39,69,36
"kelowna, bc, v1y 7v3",49.88457,-119.43779,68,91,58
"kelowna, bc, v1y 6n7",49.88637,-119.49416,64,98,59
"kelowna, bc, v1x 7p3",49.90683,-119.37863,37,51,48
"kelowna, bc, v1x 1v1",49.886,-119.41152,53,79,52
"kelowna, bc, v1y 6x9",49.89119,-119.48783,55,99,57
"kelowna, bc, v1y 7m9",49.90308,-119.4876,9,64,33
"kelowna, bc, v1y 3w1",49.88994,-119.46614,27,83,51
"kelowna, bc, v1x 3j7",49.88519,-119.39274,78,79,49
"kelowna, bc, v1x 2c6",49.8921,-119.39168,87,82,49
"kelowna, bc, v1y 6v9",49.88938,-119.48697,55,99,57
"kelowna, bc, v1y 8m2",49.8835,-119.4691,47,86,54
"kelowna, bc, v1y 0e5",49.88441,-119.48176,61,93,57
"kelowna, bc, v1y",49.88698,-119.49661,64,98,59
"kelowna, bc, v1y 8c8",49.86855,-119.48284,56,95,46
"kelowna, bc, v1p 1n7",49.87046,-119.35901,25,39,25
"kelowna, bc, v1v 0c8",49.93357,-119.4015,22,27,45
"kelowna, bc, v1y 4r9",49.88087,-119.44985,60,92,59
"kelowna, bc, v1w 3x2",49.8576,-119.48138,50,90,48
"kelowna, bc, v1v 2z8",49.91978,-119.46086,2,20,27
"kelowna, bc, v1v 2g6",49.92019,-119.41954,3,39,28
"kelowna, bc, v1x",49.90764,-119.38974,44,51,50
"kelowna, bc, v1w 4n2",49.82611,-119.47776,5,39,29
"kelowna, bc, v1y 6m2",49.88543,-119.47985,60,88,56
"west kelowna, bc, v4t 2z5",49.83205,-119.61095,21,26,-1
"peachland, bc, v0h 1x2",49.78907,-119.71241,2,27,-1
"kelowna, bc, v1y 9z2",49.89546,-119.49717,38,98,39
"kelowna, bc, v1y 5p3",49.8772,-119.4897,56,94,57
"kelowna, bc, v1x 2v3",49.88806,-119.37984,77,84,48
"kelowna, bc, v1y 6b8",49.88189,-119.47107,57,93,56
"kelowna, bc, v1y 6k4",49.8843,-119.47189,47,88,54
"kelowna, bc, v1v 0b4",49.93429,-119.40142,24,29,47
"kelowna, bc, v1v 0e2",49.90236,-119.44975,24,70,38
"kelowna, bc, v1x 1m9",49.88362,-119.38419,71,79,47
"kelowna, bc, v1y 5g6",49.86994,-119.48567,53,96,47
"kelowna, bc, v1y 9r3",49.89092,-119.49656,52,99,58
"kelowna, bc, v1y 8z4",49.89824,-119.4649,21,69,39
"kelowna, bc, v1y 8n1",49.87635,-119.46577,46,99,53
"kelowna, bc, v1y 0g9",49.88167,-119.48856,64,95,60
"kelowna, bc, v1w 2g3",49.87094,-119.45799,12,64,43
"kelowna, bc, v1y 5h3",49.87091,-119.48595,53,96,47
"kelowna, bc, v1y 6m9",49.8852,-119.46554,43,86,53
"kelowna, bc, v1y 3w2",49.88947,-119.46636,27,83,51
"kelowna, bc, v1y 8s1",49.87584,-119.47704,53,98,55
"kelowna, bc, v1x 3e1",49.89777,-119.38876,62,80,50
"kelowna, bc, v1y 2z3",49.88036,-119.4827,58,95,59
"kelowna, bc, v1w 1t9",49.81476,-119.48481,6,66,29
"kelowna, bc, v1y 6v4",49.88831,-119.48597,55,97,57
"kelowna, bc, v1y 2t1",49.87408,-119.48677,53,92,53
"kelowna, bc, v1x 2e5",49.89258,-119.38129,68,85,49
"west kelowna, bc, v4t 3n3",49.86443,-119.62271,1,2,-1
"kelowna, bc, v1y 6b9",49.882,-119.47102,57,93,56
"kelowna, bc, v1y 4v3",49.89929,-119.44785,14,63,37
"kelowna, bc, v1v 0a2",49.9354,-119.40044,26,27,47
"kelowna, bc, v1y 8h7",49.87776,-119.46797,49,97,54
"kelowna, bc, v1y 1r9",49.87931,-119.49309,63,97,59
"kelowna, bc, v1x 4p5",49.86754,-119.38935,3,34,31
"kelowna, bc, v1y 0g5",49.88293,-119.48856,67,97,60
"kelowna, bc, v1x 2y7",49.8908,-119.3854,82,89,49
"kelowna, bc, v1y 9z4",49.89555,-119.49726,38,98,39
"kelowna, bc, v1x 4g5",49.88616,-119.41484,56,81,53
"kelowna, bc, v1y 2j6",49.90251,-119.48841,24,88,35
"vernon, bc, v1t 7p9",50.25489,-119.30388,12,38,24
"kelowna, bc, v1w 1b8",49.8255,-119.48711,20,74,30
"kelowna, bc, v1y 6x4",49.89027,-119.48129,41,97,56
"kelowna, bc, v1y 2t2",49.87415,-119.48689,53,92,53
"kelowna, bc, v1y 1z9",49.89061,-119.49347,61,99,59
"kelowna, bc, v1w 3w5",49.85768,-119.47651,46,87,48
"kelowna, bc, v1y 6k2",49.88393,-119.47346,48,89,54
"kelowna, bc, v1x 5k7",49.88322,-119.37576,40,46,39
"kelowna, bc, v1x 2s1",49.89411,-119.36872,14,22,40
"kelowna, bc, v1x 1s6",49.8852,-119.38526,80,82,48
"kelowna, bc, v1x 3l5",49.8978,-119.39345,58,78,51
"kelowna, bc, v1y 2v1",49.86462,-119.48781,75,97,48
"kelowna, bc, v1y 9t8",49.89011,-119.45844,31,86,50
"kelowna, bc, v1x 3w3",49.87888,-119.40179,27,70,38
"central okanagan, bc, v1z 3t1",49.93638,-119.50935,0,4,-1
"west kelowna, bc, v4t 2z9",49.83757,-119.60997,32,38,-1
"west kelowna, bc, v4t 0a4",49.83136,-119.57793,0,42,-1
"kelowna, bc, v1v 2v1",49.90895,-119.44869,43,80,38
"kelowna, bc, v1x 3g2",49.89455,-119.38921,68,79,50
"kelowna, bc, v1v 0e3",49.93337,-119.4015,22,27,45
"lake country, bc, v4v 2r2",50.07032,-119.41315,10,6,-1
"kelowna, bc, v1v 2n1",49.95352,-119.40193,26,13,28
"kelowna, bc, v1y 6r6",49.88636,-119.46866,38,78,53
"kelowna, bc, v1y 4a2",49.87531,-119.47147,46,98,51
"kelowna, bc, v1y 5y3",49.88025,-119.47185,55,99,55
"penticton, bc, v2a 8j2",49.47224,-119.56505,6,20,-1
"vernon, bc",50.26548,-119.27376,98,65,42
"kelowna, bc, v1w",49.82797,-119.44524,4,25,11
"kelowna, bc, v1x 2j3",49.89529,-119.39342,64,82,50
"kelowna, bc, v1y 9y9",49.89538,-119.49709,38,98,39
"kelowna, bc, v1x 5m1",49.874,-119.40338,17,44,34
"west kelowna, bc, v4t 2m8",49.85375,-119.63729,1,1,-1
