,name,price,adress,unit_details,description,score,URL
0,[],[],[],[],[],[],[]
1,"['', '3 Beds 3 Baths - Townhouse']","['$3,300 / Month']","['Kelowna, BC, V1Y 5T5']","['1275 Brookside Ave, Kelowna, BC', 'Listed over a week ago', 'Townhouse', '3 beds · 3 baths', 'Central AC', 'Gas heating', 'In-unit laundry', 'Garage parking', 'Unfurnished', 'Joined Facebook in 2007']","['Kelowna 3 bed 3 bath townhome for rent\n\nWill not respond to ‘is this available’\n\n$3300, hydro & gas not included\nAvailable now. \n6 month lease\nNot furnished\n\nNo pets\n\nQuality and modern finished with upgrades throughout. Units are 3 bdrm. 3 bath + flex room. Balcony, yard, full size garage and approx. 2000 sq ft. Central location , walk to Okanagan beaches, dining, shopping, trails, park, schools, hospital, transit. 5 mins to Okanagan College Campus; 4 mins to KGH. See less']",[],['https://www.facebook.com/marketplace/item/1183331099210639/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225880743035327419%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5880743035327419%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318138247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225880743035327419%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
2,"['', '2 Beds 1 Bath House']","['$2,000 / Month']","['West Kelowna, BC, V4T']","['Goldie Rd, West Kelowna, BC', '914 square feet', 'Dog and cat friendly', 'Listed over a week ago · Available now', 'House', '2 beds · 1 bath', '914 square feet', 'In-unit laundry', 'Joined Facebook in 2017']","['REDUCED. Stunning lake and city views are included with this brand-new legal suite in a modern home in the Crystal View neighbourhood of Glenrosa. Featuring 2 bedrooms and 1 bathroom with 914 square feet, this home is located on Goldie Way and is just minutes from the beach and shopping.\n\nAvailable immediately!\nFlexible lease term.\n$2,000/month\n$1,000 security deposit\nUtilities are not included.\nIn-suite laundry.\nDishwasher Included.\nA small pet may be considered.\n\nPlease send a message with information about yourself. Thank you! See less']",[],['https://www.facebook.com/marketplace/item/1356697521734306/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%229227492060610224%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9227492060610224%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A2%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318133247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229227492060610224%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
3,"['', '1 Bed 1 Bath - Apartment']","['$1,250 / Month']","['Kelowna, BC, V1V']","['Academy Way, Kelowna, BC', 'Listed over a week ago · Available 2023/05/01', 'Elevator', 'Fitness Center', 'Resident Lounge', 'Apartment', '1 bed · 1 bath', 'Laundry in building', 'Parking available', 'Unfurnished', 'Microwave', 'Oven', 'Joined Facebook in 2020']","['Veda Student Living Studio Apartment Sublet \nMay 1st 2023 - August 31 2023\n$1250/month \n*students only*\n\n-10-15 min walk to UBCO campus \n- furnished with couch, bed, office chair, appliances & mini fridge/freezer\n- bus stop out front \n- study rooms, laundry room, game room, fitness facility in building \n- perfect for summer school student or co-op student \n- must be a student \n- single occupancy only \n- no pets \n- Parking available for $50/month \n\nMessage me if you’re interested! See less']",[],['https://www.facebook.com/marketplace/item/1571750989957583/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225725772787505327%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5725772787505327%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A3%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318128247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225725772787505327%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
4,"['', '1 bedroom available in 2 bedroom basement suite']",['$650 / Month'],['Location is approximate'],"['West Kelowna, BC', '1000 square meters', 'Listed over a week ago · Available now', 'House', '2 beds · 1 bath', '1000 square meters', 'Central heating', 'In-unit laundry', 'Street parking', 'Unfurnished', '1 month Lease', 'Basement', 'Balcony', 'Cable TV', 'West Kelowna, BC', 'Joined Facebook in 2010']",['1 bedroom available in 2 bedroom basement suite. The suite is fully furnished and newly renovated. \n\nClose to bus stop and many other amenities.\n\nIt is shared with 1 full time working individual. \n\nLooking for a clean roommate\n\nRent is including utilities\n\nSeparate entrance and huge backyard space.\n\nAvailable immediately See less'],"['Provided by Walk Score®︎', '63 out of 100', '50 out of 100', 'Provided by Walk Score®︎', 'Routes: 20 Lakeview, 24 Shannon Lake, 25 East Boundary, 28 Smith Creek', 'Routes: 28 Shannon Lake', 'Routes: 21 Glenrosa, 22 Peachland']",['https://www.facebook.com/marketplace/item/368887412000603/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225178976532183367%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5178976532183367%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A4%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318123247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225178976532183367%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
5,"['', '3 Beds 1 Bath House']","['$2,000 / Month']","['Kelowna, BC, V1V 1R1']","['Kelowna, BC, Canada, Kelowna, BC', 'Listed about a day ago', 'House', '3 beds · 1 bath', 'Joined Facebook in 2021']","[""Great location 3 bedroom, 1 bathroom home. Now available for rent. \nThe main level has a big kitchen with an eating area, a living room with door access to the deck, 2 large bedrooms, and a bathroom.\nDownstairs 1 sunny bedroom, big family room, laundry room with washer and dryer.\nGas furnace to keep the heating cost down. \nClose to schools, shopping, parks, and on the bus route. \nThere is a backyard, deck, lots of parking, storage, and a garage.\n$2000 plus utilities. \nOne year lease is required.\n-No smoking/vaping\n-No Pets\nIf you're interested please contact me for more information. See less""]",[],['https://www.facebook.com/marketplace/item/6000069810031114/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225615335365259299%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5615335365259299%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A5%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318118247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225615335365259299%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
6,"['', '1 Bed 1 Bath - House']",['$600 / Month'],"['Kelowna, BC, V1X 3M7']","['395 Froelich Rd, Kelowna, BC', 'Listed over a week ago · Available now', 'House', '1 bed · 1 bath', 'Heating available', 'Laundry available', 'Parking available', 'Unfurnished', '1 month Lease', 'Joined Facebook in 2020']",['Girls room '],[],['https://www.facebook.com/marketplace/item/491993873084651/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225834183993333699%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5834183993333699%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A6%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318113247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225834183993333699%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
7,"['', '1 Bed 1 Bath House']",['$850 / Month'],"['Vernon, BC, V1B 3M1']","['Vernon, BC, Canada, Vernon, BC', 'Listed 5 days ago · Available 2023/03/01', 'House', '1 bed · 1 bath', 'Central AC', 'Central heating', 'Laundry available', 'Parking available', 'Joined Facebook in 2007']","[""Room for Rent in Shared Home\n\nOne bedroom available.\n$850 Utilities Included\nEarliest Available MARCH (can be flexible for right tenant)\n\n- Room is furnished with Queen sized bed, TV/stand\n- Lots of natural light\n- Shared main bath with tub and double vanity/sink\n- Access to Wash/Dryer on same floor\n-  High speed internet\n-  Dishwasher\n-  Driveway Parking\n-  Room is 12'x10.5'\n- Home is Located in quiet neighborhood backed on to a nature trail, 5 mins to hospital/Downtown, 10 minutes to OC/Beach\n\nAbout us: Young engaged couple, responsible, respectful, non-party house. Looking for like minded person to share our home with. We have hypoallergenic cats, respectively 🚫 no other pets please.\n\n- No parties or late night visitors\n\n- Suitable for single occupant \n\n- Security deposit required (half rent)\n\nIf this is you please reach out with a Bio of yourself. \n\nWILL NOT RESPOND TO 'IM INTERESTED' OR 'IS THIS STILL AVAILABLE'\n\n🤙🏼 See less""]",[],['https://www.facebook.com/marketplace/item/857507335534472/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225971288756242760%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5971288756242760%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A7%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318108247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225971288756242760%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
8,"['', 'Private Room For Rent']",['$500 / Month'],['Location is approximate'],"['Kelowna, BC', 'Listed 4 days ago · Available 2023/02/25', 'Apartment', '1 bed · 1 bath', 'Parking available', 'Unfurnished', '1 person lives here', 'Balcony', 'Cable TV', 'Kelowna, BC', 'Joined Facebook in 2014']",['2 room apartment (1 bedroom available) \nFor 2 months (March and April)\n '],[],['https://www.facebook.com/marketplace/item/849479182785586/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%226078087528925266%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6078087528925266%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A8%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318103247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226078087528925266%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
9,"['', '2 Beds 2 Baths Townhouse']","['$2,300 / Month']","['Kelowna, BC, V1Y 5T8']","['1145 Pacific Ave, Kelowna, BC', '1014 square meters', 'Dog and cat friendly', 'Listed over a week ago · Available now', 'Townhouse', '2 beds · 2 baths', '1014 square meters', 'Central AC', 'Electric heating', 'In-unit laundry', 'Parking available', 'Unfurnished', 'Joined Facebook in 2022']","['Beautiful and spacious 1014 square foot rental unit available February 1st in Kelowna. Unit offers in suite laundry, heat and air conditioning, large patio and private street access. Unit does not come furnished. This is also a dog/cat friendly building. \n\n-One year lease\n-Parking, electricity and tv/internet are extra.\n-Water is included in rent See less']",[],['https://www.facebook.com/marketplace/item/816928129371827/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%226469140893101547%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6469140893101547%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A9%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318098247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226469140893101547%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
