name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area
3 beds 3 baths townhouse,3300,"kelowna, bc, v1y 5t5",Townhouse,3,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1371
2 beds 1 bath house,2000,"west kelowna, bc, v4t",House,2,1,in-unit laundry,Not specified,Not specified,Not specified,Not specified,dog and cat friendly,914
1 bed 1 bath apartment,1250,"kelowna, bc, v1v",Apartment/Condo,1,1,laundry in building,Not specified,parking available,Not specified,unfurnished,No pets,910
1 bedroom available in 2 bedroom basement suite,650,"west kelowna, bc",Room,1,1,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,150
3 beds 1 bath house,2000,"kelowna, bc, v1v 1r1",House,3,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
1 bed 1 bath house,600,"kelowna, bc, v1x 3m7",House,1,1,laundry available,heating available,parking available,Not specified,unfurnished,No pets,1200
1 bed 1 bath house,850,"vernon, bc, v1b 3m1",House,1,1,laundry available,central heating,parking available,central ac,Not specified,No pets,1200
private room for rent,500,"kelowna, bc",Room,1,1,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,150
2 beds 2 baths townhouse,2300,"kelowna, bc, v1y 5t8",Townhouse,2,2,in-unit laundry,electric heating,parking available,central ac,unfurnished,dog and cat friendly,1014
1 bed 1 bath apartment,1800,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,electric heating,parking available,ac available,unfurnished,dog and cat friendly,750
1 bed 1 bath house,1600,"kelowna, bc, v1w 1b4",House,1,1,in-unit laundry,central heating,street parking,ac available,unfurnished,No pets,600
2 beds 1 bath apartment,1800,"kelowna, bc, v1w 3r1",Apartment/Condo,2,1,Not specified,Not specified,garage parking,Not specified,unfurnished,No pets,910
studio 1 bath apartment,1300,"kelowna, bc",Apartment/Condo,1,1,laundry in building,radiator heating,parking available,ac available,Not specified,No pets,450
3 beds 1 bath house,2000,"kelowna, bc, v1x 2j5",House,3,1,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,1500
1 bed 1 bath house,1100,"kelowna, bc, v1y 3v3",House,1,1,laundry available,gas heating,parking available,ac available,unfurnished,No pets,600
1 bed 1 bath house,950,"kelowna, bc, v1v 1w4",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1200
private room for rent,750,"kelowna, bc, v1y 7v3",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150
1 bed 1 bathroom flat,1450,"kelowna, bc, v1y 6n7",Apartment/Condo,1,1,Not specified,Not specified,Not specified,central ac,unfurnished,No pets,800
private room for rent,800,"kelowna, bc, v1x 7p3",Room,1,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,150
3 beds 2 baths house,550,"kelowna, bc, v1x 1v1",House,3,2,in-unit laundry,central heating,parking available,Not specified,unfurnished,No pets,1200
