,name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area
1,3 beds 3 baths townhouse,3300,"kelowna, bc, v1y 5t5",Townhouse,3,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1371
2,2 beds 1 bath house,2000,"west kelowna, bc, v4t",House,2,1,in-unit laundry,Not specified,Not specified,Not specified,Not specified,dog and cat friendly,914
3,1 bed 1 bath apartment,1250,"kelowna, bc, v1v",Apartment/Condo,1,1,laundry in building,Not specified,parking available,Not specified,unfurnished,No pets,932
4,1 bedroom available in 2 bedroom basement suite,650,"west kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,1000
5,3 beds 1 bath house,2000,"kelowna, bc, v1v 1r1",House,3,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
6,1 bed 1 bath house,600,"kelowna, bc, v1x 3m7",House,1,1,laundry available,heating available,parking available,Not specified,unfurnished,No pets,1200
7,1 bed 1 bath house,850,"vernon, bc, v1b 3m1",House,1,1,laundry available,central heating,parking available,central ac,Not specified,No pets,1200
8,private room for rent,500,"kelowna, bc",Apartment/Condo,1,1,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,932
9,2 beds 2 baths townhouse,2300,"kelowna, bc, v1y 5t8",Townhouse,2,2,in-unit laundry,electric heating,parking available,central ac,unfurnished,dog and cat friendly,1014
10,1 bed 1 bath apartment,1800,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,electric heating,parking available,ac available,unfurnished,dog and cat friendly,750
11,1 bed 1 bath house,1600,"kelowna, bc, v1w 1b4",House,1,1,in-unit laundry,central heating,street parking,ac available,unfurnished,No pets,600
12,2 beds 1 bath apartment,1800,"kelowna, bc, v1w 3r1",Apartment/Condo,2,1,Not specified,Not specified,garage parking,Not specified,unfurnished,No pets,932
13,studio 1 bath apartment,1300,"kelowna, bc",Apartment/Condo,1,1,laundry in building,radiator heating,parking available,ac available,Not specified,No pets,450
14,3 beds 1 bath house,2000,"kelowna, bc, v1x 2j5",House,3,1,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,1500
15,1 bed 1 bath house,1100,"kelowna, bc, v1y 3v3",House,1,1,laundry available,gas heating,parking available,ac available,unfurnished,No pets,600
16,1 bed 1 bath house,950,"kelowna, bc, v1v 1w4",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1200
17,private room for rent,750,"kelowna, bc, v1y 7v3",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
18,1 bed 1 bathroom flat,1450,"kelowna, bc, v1y 6n7",Apartment/Condo,1,1,Not specified,Not specified,Not specified,central ac,unfurnished,No pets,800
19,private room for rent,800,"kelowna, bc, v1x 7p3",House,1,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,1200
